distance_km,inventory_size,mover_rating,initial_quote,hidden_cost_flag
870,3,4.7,37217,0
1304,2,1.0,50577,0
1140,3,4.9,56680,0
1105,4,3.0,54087,1
1648,1,3.9,51927,1
2179,2,4.3,84874,0
476,2,3.9,27597,1
1248,4,3.1,54690,0
340,1,2.9,9943,1
1492,1,4.4,58925,0
2145,2,1.8,39649,1
140,3,4.9,21720,0
1695,2,3.8,67699,1
779,1,1.8,16872,1
2401,4,3.9,84426,0
1525,2,3.1,51424,0
2443,1,3.8,90481,0
1225,2,4.1,55961,0
965,3,1.3,27917,1
2334,2,3.0,82723,0
1194,2,4.7,50139,1
469,1,2.3,11802,1
31,1,3.4,6019,0
2310,1,2.5,68332,0
757,2,2.8,21729,1
484,3,3.2,29860,0
1092,4,3.2,60443,0
2057,4,1.8,79728,0
985,1,3.7,31105,0
1816,1,1.4,56368,0
199,2,1.6,9481,1
572,4,1.0,25598,1
1909,1,1.5,57952,0
1277,3,2.9,35762,1
1538,3,3.4,64692,0
656,1,4.2,28327,0
2078,1,1.4,37688,1
2224,4,4.4,99900,0
1307,4,4.0,67016,0
2445,2,2.6,45509,1
610,4,4.7,35979,0
2373,3,5.0,100016,0
2071,3,1.8,53423,1
251,1,2.5,6343,1
2051,4,4.7,91263,0
1373,2,3.9,60038,0
2149,3,1.2,91963,0
1400,3,4.1,67793,0
1488,2,4.3,61635,0
785,2,4.0,34646,0
44,3,4.2,16215,0
2263,3,4.3,82576,0
1965,2,1.7,44464,1
1595,3,1.9,40800,1
1031,1,3.5,34496,0
1139,1,4.6,45454,1
1510,2,2.3,35557,1
712,4,3.4,44206,0
2459,2,3.7,87243,0
1589,2,2.8,35100,1
171,4,3.9,23817,0
211,4,4.6,25306,0
1991,4,3.5,73937,0
1005,1,3.2,33255,0
2327,3,2.8,50100,1
825,1,3.3,31508,0
465,3,2.4,26210,0
1285,1,2.6,28715,1
1026,3,3.1,45242,0
2353,1,1.3,88708,0
347,4,1.9,21089,1
888,2,3.2,35014,0
1086,1,2.7,39031,0
801,3,2.3,19524,1
2274,4,3.9,95233,0
773,1,3.8,30506,0
2245,1,1.7,39756,1
389,4,4.5,33808,0
502,1,3.0,19411,0
1190,2,4.0,43334,1
2072,1,3.3,73570,0
74,2,5.0,12192,0
1377,2,4.0,55264,0
1162,4,3.8,56504,0
2037,1,4.1,79021,0
1505,4,1.6,34524,1
1172,1,1.8,23811,1
1532,1,3.9,56266,0
401,3,3.0,27534,0
1708,1,4.0,67061,0
428,4,1.4,21161,1
2346,2,3.1,88184,0
388,1,2.5,10839,1
1806,3,2.8,82033,1
2288,4,3.4,103916,0
2098,1,3.0,75908,0
2192,4,3.2,96458,1
210,3,2.9,20102,0
1873,3,2.6,37058,1
789,4,4.1,46782,0
512,1,1.0,18436,0
2464,2,3.4,87671,1
1761,3,3.3,65327,0
814,1,3.9,29531,0
2156,1,3.4,78929,0
1905,2,4.3,79396,0
1580,3,4.8,57515,0
970,3,2.4,26762,1
1495,1,1.9,33723,1
1038,1,2.7,18666,1
512,2,2.2,29096,0
407,2,3.5,22373,0
880,3,4.6,41260,1
402,4,1.6,22297,1
216,3,1.4,20626,0
1048,1,2.0,23271,1
1891,3,3.9,82233,0
1494,4,3.4,59138,1
873,2,1.4,22947,1
573,4,4.7,44087,0
1030,4,4.2,47706,1
105,4,1.1,27059,0
1933,2,3.6,73322,0
1767,4,4.1,79214,0
2288,4,2.5,96075,0
1688,4,1.3,39541,1
550,1,1.3,25382,0
1069,4,1.4,61661,0
1193,2,4.4,49800,0
1732,4,4.6,81676,0
1829,4,1.5,46602,1
1607,2,1.9,34744,1
805,4,1.7,27910,1
1061,2,1.7,25541,1
1653,4,4.3,75104,0
1373,2,2.3,33619,1
1991,4,2.2,47533,1
1364,4,1.9,30956,1
1673,1,3.4,52386,0
1539,1,2.5,30073,1
2048,4,4.0,91004,1
1506,4,1.8,40323,1
2247,3,4.2,90246,0
1418,2,3.4,54840,1
1410,3,1.5,35706,1
1316,1,2.7,44422,0
982,1,4.5,35874,0
1778,1,4.7,65532,1
1292,1,2.9,29510,1
719,4,2.9,42821,0
1489,1,4.7,45353,0
1444,4,3.3,60059,0
658,4,1.1,20035,1
327,1,4.7,16231,0
1267,1,2.0,42996,0
693,2,3.3,32721,0
673,3,1.7,36878,1
2008,1,1.1,33683,1
1641,2,2.2,60472,0
1505,2,4.1,53284,0
1146,3,2.1,50640,0
1863,4,1.9,72935,1
1530,1,1.9,58643,0
2499,3,3.1,85674,0
573,1,4.9,26366,0
1301,2,2.8,50244,0
1646,2,3.2,68517,1
708,4,4.4,44895,0
2170,2,3.1,84157,0
11,2,1.7,6751,1
651,3,2.2,36306,0
2277,1,2.2,44620,1
1599,1,2.6,55840,0
864,3,2.7,44047,0
1769,4,4.2,66407,0
2442,1,2.4,45320,1
1671,2,2.9,37355,1
1163,1,3.5,43053,0
1086,2,2.5,28042,1
1717,4,4.3,78410,1
1705,3,3.3,79223,0
1743,1,2.2,31897,1
1449,3,3.9,58922,0
2304,1,3.1,75243,0
845,2,3.1,36754,0
212,3,2.9,14251,1
132,1,3.0,8697,0
410,2,4.1,25261,0
776,3,1.4,22243,1
303,3,2.3,14944,1
2337,1,1.3,81852,0
207,1,4.0,11342,0
1940,1,2.1,38079,1
2201,2,4.6,77847,0
618,1,3.1,21674,0
1157,3,4.2,51258,0
196,3,4.9,19402,0
1804,1,4.4,60391,1
669,1,4.5,27022,0
1965,4,2.6,48623,1
2460,3,3.2,97572,0
1379,2,2.0,47701,0
1996,4,1.8,87519,0
1544,1,3.0,50993,0
156,1,3.4,9870,1
1744,3,2.4,45211,1
1853,1,3.3,54695,0
498,2,4.5,26848,0
1969,3,3.2,79967,0
1673,1,3.9,56238,0
2395,3,4.2,84340,0
650,1,5.0,23774,0
1812,1,3.4,69161,1
1979,1,4.2,66468,0
2208,2,4.9,76184,0
1448,2,4.8,55290,0
1644,3,1.6,70804,0
272,1,2.6,6963,1
1797,1,2.3,34750,1
2201,2,1.3,46954,1
2403,1,3.5,91318,0
633,2,3.9,28287,0
1026,1,4.4,36058,0
890,3,1.5,24013,1
2059,1,4.5,72222,0
1337,1,3.6,45426,0
2311,4,3.8,94694,1
462,2,4.6,27070,0
1193,1,3.5,45342,0
2066,1,2.3,39469,1
1692,4,4.3,82029,0
2265,4,2.5,53792,1
1164,2,1.1,27310,1
413,4,4.3,29483,0
2209,3,2.4,56672,1
2111,4,4.1,78071,0
1706,3,2.5,64150,0
637,2,4.4,26650,0
596,2,1.9,17508,1
1658,2,4.9,57793,1
1453,2,4.1,51125,0
1455,2,1.5,27775,1
113,3,3.3,17120,0
263,3,4.9,24615,0
1506,2,2.9,35185,1
108,4,1.7,13467,1
2210,1,2.9,42493,1
1894,2,3.0,73888,0
1929,4,4.0,70489,0
887,1,3.8,31513,0
347,2,2.6,24327,0
966,2,1.9,24012,1
1714,3,3.6,64843,0
170,1,2.7,6103,1
1613,1,1.5,30353,1
407,4,4.6,34132,0
1310,3,3.8,50918,0
825,3,3.7,37357,0
1537,3,4.3,57630,0
1929,3,3.1,86128,0
1425,1,4.3,53473,0
1168,1,3.0,37986,0
1228,2,1.3,25184,1
410,2,2.6,14409,1
649,3,3.0,32637,0
469,3,3.9,28208,0
964,3,1.4,52221,0
479,2,1.6,13429,1
1055,4,2.1,32659,1
1703,4,2.1,84852,0
2095,2,3.9,73745,0
2287,2,2.0,71162,0
572,2,3.5,26433,0
2495,2,3.0,97514,0
1809,2,3.3,74513,0
2084,2,4.4,81987,0
235,3,2.6,11523,1
807,3,4.1,44646,0
2341,3,2.7,100196,0
969,3,2.4,27328,1
1514,2,4.8,65520,1
462,4,1.7,22529,1
825,1,1.4,18843,1
668,2,4.1,32237,0
556,1,1.3,12351,1
1225,4,4.3,53786,1
26,3,2.7,9799,1
1253,4,4.7,57327,0
2215,2,3.9,88676,0
1079,3,3.4,56749,0
2156,2,4.8,84069,0
1778,3,2.6,63361,1
1070,1,4.8,36603,1
2337,1,1.5,39194,1
311,1,2.9,9029,1
190,4,2.1,16783,1
616,2,3.2,33540,0
709,4,1.6,24251,1
1002,1,4.4,41034,0
1149,2,4.4,51734,0
200,1,4.8,10946,0
2310,4,1.6,60168,1
990,4,3.5,50331,0
2016,4,2.9,45018,1
1194,1,2.4,25709,1
137,2,2.4,7981,1
2075,2,2.7,45231,1
1826,1,3.8,64738,0
1768,2,3.4,67391,0
579,1,2.8,12886,1
1356,2,1.3,53951,0
1905,3,1.3,44682,1
635,3,1.0,20741,1
1696,4,4.9,73242,0
164,3,1.0,10018,1
1419,3,1.4,61952,0
794,3,2.3,36899,1
255,1,4.2,13823,0
1510,3,4.8,68006,1
1715,3,4.2,69781,0
547,4,3.8,38693,0
1900,3,3.1,85351,0
1851,3,1.3,47215,1
930,2,4.8,44504,1
2465,4,4.0,107491,0
534,4,3.6,33594,1
1539,4,4.0,62510,0
45,4,3.9,22588,0
694,4,3.5,39751,0
29,4,4.9,21767,0
2378,1,4.6,77737,0
409,3,3.6,29037,1
981,4,3.8,55562,0
1916,3,1.2,46611,1
1176,3,3.7,53114,0
1125,1,1.2,44435,0
843,4,3.4,46615,0
1833,2,5.0,75974,0
1992,1,3.2,59668,0
863,2,2.9,24797,1
60,3,2.3,10599,1
584,3,1.5,32976,0
1158,1,3.9,38116,0
2207,1,1.8,42429,1
2371,2,1.5,77752,0
2362,4,2.7,48452,1
1725,2,4.2,67011,0
691,1,4.0,27194,0
847,2,1.2,38987,0
1087,1,2.8,25797,1
2321,2,3.1,84382,0
1605,1,3.6,57097,0
14,1,3.6,5023,1
1136,1,2.5,25149,1
1229,4,3.2,58005,0
783,2,2.9,23287,1
886,2,4.5,41955,1
1001,2,3.1,42301,0
56,1,2.8,3504,1
278,2,2.6,12322,1
379,2,3.3,24360,1
645,1,4.2,23263,0
1139,3,3.2,48608,0
1703,1,3.6,63831,0
1692,2,4.0,58060,0
666,1,3.1,29359,0
129,3,2.7,11037,1
840,1,4.5,27968,0
1820,2,2.7,42839,1
1091,3,2.8,27430,1
1984,4,5.0,84128,0
1379,2,1.0,47963,1
750,3,1.7,33779,1
126,3,2.5,11786,1
1863,4,4.7,80029,1
1160,1,1.3,42906,0
1941,1,1.0,41652,1
1022,2,1.2,44481,1
1674,4,1.4,37564,1
1091,1,1.2,21587,1
643,4,2.9,26763,1
522,1,3.3,23366,0
1129,3,2.1,29875,1
1151,1,2.6,21786,1
569,4,1.4,36722,0
497,3,2.3,19333,1
906,3,3.1,48732,1
1222,3,3.9,56899,0
713,4,1.0,47302,0
1480,2,2.9,35541,1
590,2,2.2,14679,1
2304,2,4.4,81270,0
163,4,3.9,23543,0
1689,3,3.4,63737,0
1006,2,2.1,27075,1
1253,4,4.6,60001,0
1102,2,1.2,45669,0
1018,1,1.4,19038,1
2151,2,2.6,41919,1
1783,2,1.5,34668,1
967,3,4.8,42331,0
462,4,4.2,36954,0
1237,3,2.0,28732,1
2275,3,3.4,90709,0
2489,3,4.9,82275,0
2398,3,4.5,81943,0
560,3,3.4,31239,0
1645,2,4.6,64045,0
1322,3,5.0,60276,0
1767,3,4.0,70241,0
366,4,1.3,32025,0
2080,1,2.6,43466,1
1795,2,4.4,57768,0
1791,2,1.9,36212,1
2499,2,4.3,97342,1
1641,3,1.5,69430,0
1025,3,1.2,25960,1
1358,3,2.5,37964,1
525,4,1.1,40461,0
345,1,4.8,15034,0
1792,3,4.3,75195,0
2315,1,4.2,80311,0
506,4,3.5,35896,0
905,2,1.9,21301,1
2217,3,3.1,81760,0
861,1,3.4,33455,0
1697,1,3.1,57739,0
1941,3,2.0,48798,1
2437,2,3.1,91494,0
1578,2,3.0,52808,0
966,2,5.0,42568,0
1646,4,4.6,68085,0
1301,1,2.9,47457,0
1450,1,3.5,53545,0
1201,1,4.0,39768,0
1076,4,1.1,30916,1
294,1,4.6,13227,0
2454,4,4.4,85727,1
21,2,2.8,10773,0
1640,3,2.6,36760,1
763,1,2.1,19497,1
2092,1,2.9,39928,1
99,2,1.2,7350,1
785,3,4.4,41408,0
1635,4,1.1,63983,0
427,3,2.3,19253,1
124,2,4.7,14961,0
626,2,3.9,32419,0
835,3,2.1,21390,1
1659,4,2.0,40598,1
1526,4,1.0,67543,0
422,1,3.8,20247,0
738,4,1.2,21080,1
685,3,3.1,35203,1
1902,2,4.8,80094,1
2249,1,1.4,43118,1
1132,1,4.6,39534,0
1581,2,5.0,53751,0
987,4,1.2,34470,1
1018,2,4.5,36729,0
2153,4,3.1,94838,0
1697,2,4.6,68863,0
46,3,3.3,15939,1
1558,4,3.6,73511,0
2336,3,3.2,78943,0
2274,1,4.5,71544,0
882,2,3.9,41432,0
1831,1,3.1,69483,0
1306,1,4.5,47826,0
2119,1,2.0,41235,1
605,1,1.6,21941,0
1913,2,1.6,34545,1
738,1,2.3,25383,0
1375,2,2.0,49620,0
406,2,4.7,22235,0
708,3,1.4,20880,1
2234,4,3.8,87359,0
1645,4,1.8,67388,0
405,2,4.5,23322,1
85,3,4.8,20140,0
274,2,2.9,10129,1
1829,2,4.5,76722,1
727,2,1.0,21461,1
860,3,4.3,38699,0
1400,4,1.9,70424,0
153,3,4.6,21007,0
894,1,1.0,34046,0
405,3,3.2,27620,0
1502,3,4.0,63083,0
1177,3,2.0,51273,0
1072,3,1.8,50080,0
2166,4,1.3,53162,1
1075,1,2.3,23648,1
1219,4,3.2,59949,0
2455,4,1.5,60337,1
643,3,2.5,18113,1
1166,2,1.0,43342,0
1248,2,4.3,54348,0
742,4,1.5,23856,1
244,4,2.1,13785,1
